id,category,subtype,text,pose,favor_delta,anger_delta,weight
tech_00016,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 ここ、ちゃんと押さえられたら強いよ。,teach_016,1,-1,1
tech_00017,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。わたしは数式だけじゃなくて、波形も一緒に見るようにしてるよ。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_017,1,-1,1
tech_00018,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 どうかな。,teach_018,1,-1,1
tech_00019,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。このへん、地味だけど設計の性格が出るところなんだよね。,teach_019,1,-1,1
tech_00020,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 このへん、地味だけど設計の性格が出るところなんだよね。,teach_020,1,-1,1
tech_00021,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 このへん、地味だけど設計の性格が出るところなんだよね。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_021,1,-1,1
tech_00022,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 うん、これでだいぶ見通しよくなるはず。,teach_022,1,-1,1
tech_00023,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。このへん、地味だけど設計の性格が出るところなんだよね。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_023,1,-1,1
tech_00024,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 わたしはこんな感じで見てるよ。,teach_024,1,-1,1
tech_00025,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。,teach_025,1,-1,1
tech_00026,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。,teach_026,1,-1,1
tech_00027,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_027,1,-1,1
tech_00028,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 ここ、好きなポイントなんだよね。,teach_028,1,-1,1
tech_00029,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_029,1,-1,1
tech_00030,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 たぶんこの順番が分かりやすいよ。,teach_030,1,-1,1
tech_00031,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ここまで言葉にできると、レビューでも説明しやすいよ。,teach_031,1,-1,1
tech_00032,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ここまで言葉にできると、レビューでも説明しやすいよ。,teach_032,1,-1,1
tech_00033,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 ここまで言葉にできると、レビューでも説明しやすいよ。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_033,1,-1,1
tech_00034,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 ちょっと細かいけど、あとで効いてくるんだよね。,teach_034,1,-1,1
tech_00035,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ここまで言葉にできると、レビューでも説明しやすいよ。 PEX後でも同じ傾向か確認したいな。,teach_035,1,-1,1
tech_00036,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 ここ、好きなポイントなんだよね。,teach_036,1,-1,1
tech_00037,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。,teach_037,1,-1,1
tech_00038,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。,teach_038,1,-1,1
tech_00039,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_039,1,-1,1
tech_00040,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 たぶんこの順番が分かりやすいよ。,teach_040,1,-1,1
tech_00041,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。 PEX後でも同じ傾向か確認したいな。,teach_041,1,-1,1
tech_00042,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 ちょっと細かいけど、あとで効いてくるんだよね。,teach_042,1,-1,1
tech_00043,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。理想式だけで決めずに、最後はSPICEでも確認したいな。,teach_043,1,-1,1
tech_00044,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 理想式だけで決めずに、最後はSPICEでも確認したいな。,teach_044,1,-1,1
tech_00045,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 理想式だけで決めずに、最後はSPICEでも確認したいな。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_045,1,-1,1
tech_00046,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 どうかな。,teach_046,1,-1,1
tech_00047,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。理想式だけで決めずに、最後はSPICEでも確認したいな。 PEX後でも同じ傾向か確認したいな。,teach_047,1,-1,1
tech_00048,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 うん、これでだいぶ見通しよくなるはず。,teach_048,1,-1,1
tech_00049,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ここ、実際のレイアウトまで想像すると見え方が変わるよ。,teach_049,1,-1,1
tech_00050,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ここ、実際のレイアウトまで想像すると見え方が変わるよ。,teach_050,1,-1,1
tech_00051,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 ここ、実際のレイアウトまで想像すると見え方が変わるよ。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_051,1,-1,1
tech_00052,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 ここまで見えたら、次に進んでよさそう。,teach_052,1,-1,1
tech_00053,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ここ、実際のレイアウトまで想像すると見え方が変わるよ。 PEX後でも同じ傾向か確認したいな。,teach_053,1,-1,1
tech_00054,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 一緒に見てみよっか。,teach_054,1,-1,1
tech_00055,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。わたしなら改善前と改善後を並べて、差を見てみるかな。,teach_055,1,-1,1
tech_00056,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 わたしなら改善前と改善後を並べて、差を見てみるかな。,teach_056,1,-1,1
tech_00057,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 わたしなら改善前と改善後を並べて、差を見てみるかな。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_057,1,-1,1
tech_00058,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 一緒に見てみよっか。,teach_058,1,-1,1
tech_00059,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。わたしなら改善前と改善後を並べて、差を見てみるかな。 PEX後でも同じ傾向か確認したいな。,teach_059,1,-1,1
tech_00060,tech,mosfet_bias,ねえ、ここはMOSFETの動作点を見たいかな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 ここ、ちゃんと押さえられたら強いよ。,teach_060,1,-1,1
tech_00061,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ここが分かると、次の判断がしやすいんだよね。,teach_061,1,-1,1
tech_00062,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ここが分かると、次の判断がしやすいんだよね。,teach_062,1,-1,1
tech_00063,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 ここが分かると、次の判断がしやすいんだよね。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_063,1,-1,1
tech_00064,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 わたしはこんな感じで見てるよ。,teach_064,1,-1,1
tech_00065,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ここが分かると、次の判断がしやすいんだよね。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_065,1,-1,1
tech_00066,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 ここまで見えたら、次に進んでよさそう。,teach_066,1,-1,1
tech_00067,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ここを曖昧にすると、あとで波形を見ても迷いやすいの。,teach_067,1,-1,1
tech_00068,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ここを曖昧にすると、あとで波形を見ても迷いやすいの。,teach_068,1,-1,1
tech_00069,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 ここを曖昧にすると、あとで波形を見ても迷いやすいの。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_069,1,-1,1
tech_00070,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 これなら整理しやすいと思う。,teach_070,1,-1,1
tech_00071,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ここを曖昧にすると、あとで波形を見ても迷いやすいの。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_071,1,-1,1
tech_00072,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 これなら整理しやすいと思う。,teach_072,1,-1,1
tech_00073,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。わたしは数式だけじゃなくて、波形も一緒に見るようにしてるよ。,teach_073,1,-1,1
tech_00074,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 わたしは数式だけじゃなくて、波形も一緒に見るようにしてるよ。,teach_074,1,-1,1
tech_00075,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 わたしは数式だけじゃなくて、波形も一緒に見るようにしてるよ。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_075,1,-1,1
tech_00076,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 ここ、ちゃんと押さえられたら強いよ。,teach_076,1,-1,1
tech_00077,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。わたしは数式だけじゃなくて、波形も一緒に見るようにしてるよ。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_077,1,-1,1
tech_00078,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 どうかな。,teach_078,1,-1,1
tech_00079,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。このへん、地味だけど設計の性格が出るところなんだよね。,teach_079,1,-1,1
tech_00080,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 このへん、地味だけど設計の性格が出るところなんだよね。,teach_080,1,-1,1
tech_00081,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 このへん、地味だけど設計の性格が出るところなんだよね。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_081,1,-1,1
tech_00082,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 うん、これでだいぶ見通しよくなるはず。,teach_082,1,-1,1
tech_00083,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。このへん、地味だけど設計の性格が出るところなんだよね。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_083,1,-1,1
tech_00084,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 わたしはこんな感じで見てるよ。,teach_084,1,-1,1
tech_00085,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。,teach_085,1,-1,1
tech_00086,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。,teach_086,1,-1,1
tech_00087,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_087,1,-1,1
tech_00088,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならPVTを振っても同じ説明が通るか見たいね。 ここ、好きなポイントなんだよね。,teach_088,1,-1,1
tech_00089,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。一個ずつ切り分けると、意外とすぐ原因が見えてくるよ。 Monte Carloでばらつきまで見ておくと安心だよ。,teach_089,1,-1,1
tech_00090,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。PEX後でも同じ傾向か確認したいな。 たぶんこの順番が分かりやすいよ。,teach_090,1,-1,1
tech_00091,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ここまで言葉にできると、レビューでも説明しやすいよ。,teach_091,1,-1,1
tech_00092,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ここまで言葉にできると、レビューでも説明しやすいよ。,teach_092,1,-1,1
tech_00093,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 ここまで言葉にできると、レビューでも説明しやすいよ。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_093,1,-1,1
tech_00094,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 ちょっと細かいけど、あとで効いてくるんだよね。,teach_094,1,-1,1
tech_00095,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ここまで言葉にできると、レビューでも説明しやすいよ。 PEX後でも同じ傾向か確認したいな。,teach_095,1,-1,1
tech_00096,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 ここ、好きなポイントなんだよね。,teach_096,1,-1,1
tech_00097,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。,teach_097,1,-1,1
tech_00098,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。,teach_098,1,-1,1
tech_00099,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。 それでね、VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、tranで大信号の動きも確認しよ。,teach_099,1,-1,1
tech_00100,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいの。わたしならMonte Carloでばらつきまで見ておくと安心だよ。 たぶんこの順番が分かりやすいよ。,teach_100,1,-1,1
tech_00101,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいかな。ちゃんと余裕を残しておくと、PVTで慌てなくて済むかも。 PEX後でも同じ傾向か確認したいな。,teach_101,1,-1,1
tech_00102,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいんだよね。入力範囲の端でも崩れないか見てみよ。 ちょっと細かいけど、あとで効いてくるんだよね。,teach_102,1,-1,1
tech_00103,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいから、DC動作点も一緒に見たいな。理想式だけで決めずに、最後はSPICEでも確認したいな。,teach_103,1,-1,1
tech_00104,tech,mosfet_bias,ねえ、ここはMOSFETの動作点から確認したいな。 VGSとVDSを先に見て、飽和領域にちゃんと入っているか確認したいよ。ACで利得と位相を見てみたいな。 理想式だけで決めずに、最後はSPICEでも確認したいな。,teach_104,1,-1,1
