id,category,image,scale,rotate_deg,offset_x_px,offset_y_px,flip_x,weight
wave_006,wave,assets/images/base/idle2.png,0.92,1.5,-6,-6,0,1
wave_007,wave,assets/images/base/wave.png,0.96,-0.5,8,2,1,1
wave_008,wave,assets/images/base/idle1.png,0.90,2,0,-4,0,1
wave_009,wave,assets/images/base/idle2.png,0.95,0,-8,4,0,1
wave_010,wave,assets/images/base/wave.png,0.98,-2,6,-2,0,1
wave_011,wave,assets/images/base/idle1.png,0.94,0.5,-2,6,0,1
wave_012,wave,assets/images/base/idle2.png,0.97,-1.5,-10,0,0,1
wave_013,wave,assets/images/base/wave.png,0.92,1,4,-6,0,1
wave_014,wave,assets/images/base/idle1.png,0.96,-1,-4,2,1,1
wave_015,wave,assets/images/base/idle2.png,0.90,1.5,10,-4,0,1
wave_016,wave,assets/images/base/wave.png,0.95,-0.5,2,4,0,1
wave_017,wave,assets/images/base/idle1.png,0.98,2,-6,-2,0,1
wave_018,wave,assets/images/base/idle2.png,0.94,0,8,6,0,1
wave_019,wave,assets/images/base/wave.png,0.97,-2,0,0,0,1
wave_020,wave,assets/images/base/idle1.png,0.92,0.5,-8,-6,0,1
wave_021,wave,assets/images/base/idle2.png,0.96,-1.5,6,2,1,1
wave_022,wave,assets/images/base/wave.png,0.90,1,-2,-4,0,1
wave_023,wave,assets/images/base/idle1.png,0.95,-1,-10,4,0,1
wave_024,wave,assets/images/base/idle2.png,0.98,1.5,4,-2,0,1
wave_025,wave,assets/images/base/wave.png,0.94,-0.5,-4,6,0,1
wave_026,wave,assets/images/base/idle1.png,0.97,2,10,0,0,1
wave_027,wave,assets/images/base/idle2.png,0.92,0,2,-6,0,1
wave_028,wave,assets/images/base/wave.png,0.96,-2,-6,2,1,1
wave_029,wave,assets/images/base/idle1.png,0.90,0.5,8,-4,0,1
wave_030,wave,assets/images/base/idle2.png,0.95,-1.5,0,4,0,1
wave_031,wave,assets/images/base/wave.png,0.98,1,-8,-2,0,1
wave_032,wave,assets/images/base/idle1.png,0.94,-1,6,6,0,1
wave_033,wave,assets/images/base/idle2.png,0.97,1.5,-2,0,0,1
wave_034,wave,assets/images/base/wave.png,0.92,-0.5,-10,-6,0,1
wave_035,wave,assets/images/base/idle1.png,0.96,2,4,2,1,1
wave_036,wave,assets/images/base/idle2.png,0.90,0,-4,-4,0,1
wave_037,wave,assets/images/base/wave.png,0.95,-2,10,4,0,1
wave_038,wave,assets/images/base/idle1.png,0.98,0.5,2,-2,0,1
wave_039,wave,assets/images/base/idle2.png,0.94,-1.5,-6,6,0,1
wave_040,wave,assets/images/base/wave.png,0.97,1,8,0,0,1
wave_041,wave,assets/images/base/idle1.png,0.92,-1,0,-6,0,1
wave_042,wave,assets/images/base/idle2.png,0.96,1.5,-8,2,1,1
wave_043,wave,assets/images/base/wave.png,0.90,-0.5,6,-4,0,1
wave_044,wave,assets/images/base/idle1.png,0.95,2,-2,4,0,1
wave_045,wave,assets/images/base/idle2.png,0.98,0,-10,-2,0,1
wave_046,wave,assets/images/base/wave.png,0.94,-2,4,6,0,1
wave_047,wave,assets/images/base/idle1.png,0.97,0.5,-4,0,0,1
wave_048,wave,assets/images/base/idle2.png,0.92,-1.5,10,-6,0,1
wave_049,wave,assets/images/base/wave.png,0.96,1,2,2,1,1
wave_050,wave,assets/images/base/idle1.png,0.90,-1,-6,-4,0,1
wave_051,wave,assets/images/base/idle2.png,0.95,1.5,8,4,0,1
wave_052,wave,assets/images/base/wave.png,0.98,-0.5,0,-2,0,1
wave_053,wave,assets/images/base/idle1.png,0.94,2,-8,6,0,1
wave_054,wave,assets/images/base/idle2.png,0.97,0,6,0,0,1
wave_055,wave,assets/images/base/wave.png,0.92,-2,-2,-6,0,1
wave_056,wave,assets/images/base/idle1.png,0.96,0.5,-10,2,1,1
wave_057,wave,assets/images/base/idle2.png,0.90,-1.5,4,-4,0,1
wave_058,wave,assets/images/base/wave.png,0.95,1,-4,4,0,1
wave_059,wave,assets/images/base/idle1.png,0.98,-1,10,-2,0,1
wave_060,wave,assets/images/base/idle2.png,0.94,1.5,2,6,0,1
teach_001,teach,assets/images/base/teach1.png,0.92,-1.5,-8,-2,0,1
teach_002,teach,assets/images/base/teach2.png,0.96,1,6,6,0,1
teach_003,teach,assets/images/base/think1.png,0.90,-1,-2,0,0,1
teach_004,teach,assets/images/base/think2.png,0.95,1.5,-10,-6,0,1
teach_005,teach,assets/images/base/teach1.png,0.98,-0.5,4,2,0,1
teach_006,teach,assets/images/base/teach2.png,0.94,2,-4,-4,0,1
teach_007,teach,assets/images/base/think1.png,0.97,0,10,4,0,1
teach_008,teach,assets/images/base/think2.png,0.92,-2,2,-2,0,1
teach_009,teach,assets/images/base/teach1.png,0.96,0.5,-6,6,0,1
teach_010,teach,assets/images/base/teach2.png,0.90,-1.5,8,0,0,1
teach_011,teach,assets/images/base/think1.png,0.95,1,0,-6,0,1
teach_012,teach,assets/images/base/think2.png,0.98,-1,-8,2,0,1
teach_013,teach,assets/images/base/teach1.png,0.94,1.5,6,-4,0,1
teach_014,teach,assets/images/base/teach2.png,0.97,-0.5,-2,4,0,1
teach_015,teach,assets/images/base/think1.png,0.92,2,-10,-2,0,1
teach_016,teach,assets/images/base/think2.png,0.96,0,4,6,0,1
teach_017,teach,assets/images/base/teach1.png,0.90,-2,-4,0,0,1
teach_018,teach,assets/images/base/teach2.png,0.95,0.5,10,-6,0,1
teach_019,teach,assets/images/base/think1.png,0.98,-1.5,2,2,0,1
teach_020,teach,assets/images/base/think2.png,0.94,1,-6,-4,0,1
teach_021,teach,assets/images/base/teach1.png,0.97,-1,8,4,0,1
teach_022,teach,assets/images/base/teach2.png,0.92,1.5,0,-2,0,1
teach_023,teach,assets/images/base/think1.png,0.96,-0.5,-8,6,0,1
teach_024,teach,assets/images/base/think2.png,0.90,2,6,0,0,1
teach_025,teach,assets/images/base/teach1.png,0.95,0,-2,-6,0,1
teach_026,teach,assets/images/base/teach2.png,0.98,-2,-10,2,0,1
teach_027,teach,assets/images/base/think1.png,0.94,0.5,4,-4,0,1
teach_028,teach,assets/images/base/think2.png,0.97,-1.5,-4,4,0,1
teach_029,teach,assets/images/base/teach1.png,0.92,1,10,-2,0,1
teach_030,teach,assets/images/base/teach2.png,0.96,-1,2,6,0,1
teach_031,teach,assets/images/base/think1.png,0.90,1.5,-6,0,0,1
teach_032,teach,assets/images/base/think2.png,0.95,-0.5,8,-6,0,1
teach_033,teach,assets/images/base/teach1.png,0.98,2,0,2,0,1
teach_034,teach,assets/images/base/teach2.png,0.94,0,-8,-4,0,1
teach_035,teach,assets/images/base/think1.png,0.97,-2,6,4,0,1
teach_036,teach,assets/images/base/think2.png,0.92,0.5,-2,-2,0,1
teach_037,teach,assets/images/base/teach1.png,0.96,-1.5,-10,6,0,1
teach_038,teach,assets/images/base/teach2.png,0.90,1,4,0,0,1
teach_039,teach,assets/images/base/think1.png,0.95,-1,-4,-6,0,1
teach_040,teach,assets/images/base/think2.png,0.98,1.5,10,2,0,1
teach_041,teach,assets/images/base/teach1.png,0.94,-0.5,2,-4,0,1
teach_042,teach,assets/images/base/teach2.png,0.97,2,-6,4,0,1
teach_043,teach,assets/images/base/think1.png,0.92,0,8,-2,0,1
teach_044,teach,assets/images/base/think2.png,0.96,-2,0,6,0,1
teach_045,teach,assets/images/base/teach1.png,0.90,0.5,-8,0,0,1
teach_046,teach,assets/images/base/teach2.png,0.95,-1.5,6,-6,0,1
teach_047,teach,assets/images/base/think1.png,0.98,1,-2,2,0,1
teach_048,teach,assets/images/base/think2.png,0.94,-1,-10,-4,0,1
teach_049,teach,assets/images/base/teach1.png,0.97,1.5,4,4,0,1
teach_050,teach,assets/images/base/teach2.png,0.92,-0.5,-4,-2,0,1
teach_051,teach,assets/images/base/think1.png,0.96,2,10,6,0,1
teach_052,teach,assets/images/base/think2.png,0.90,0,2,0,0,1
teach_053,teach,assets/images/base/teach1.png,0.95,-2,-6,-6,0,1
teach_054,teach,assets/images/base/teach2.png,0.98,0.5,8,2,0,1
teach_055,teach,assets/images/base/think1.png,0.94,-1.5,0,-4,0,1
teach_056,teach,assets/images/base/think2.png,0.97,1,-8,4,0,1
teach_057,teach,assets/images/base/teach1.png,0.92,-1,6,-2,0,1
teach_058,teach,assets/images/base/teach2.png,0.96,1.5,-2,6,0,1
teach_059,teach,assets/images/base/think1.png,0.90,-0.5,-10,0,0,1
teach_060,teach,assets/images/base/think2.png,0.95,2,4,-6,0,1
teach_061,teach,assets/images/base/teach1.png,0.98,0,-4,2,0,1
teach_062,teach,assets/images/base/teach2.png,0.94,-2,10,-4,0,1
teach_063,teach,assets/images/base/think1.png,0.97,0.5,2,4,0,1
teach_064,teach,assets/images/base/think2.png,0.92,-1.5,-6,-2,0,1
teach_065,teach,assets/images/base/teach1.png,0.96,1,8,6,0,1
teach_066,teach,assets/images/base/teach2.png,0.90,-1,0,0,0,1
teach_067,teach,assets/images/base/think1.png,0.95,1.5,-8,-6,0,1
teach_068,teach,assets/images/base/think2.png,0.98,-0.5,6,2,0,1
teach_069,teach,assets/images/base/teach1.png,0.94,2,-2,-4,0,1
teach_070,teach,assets/images/base/teach2.png,0.97,0,-10,4,0,1
teach_071,teach,assets/images/base/think1.png,0.92,-2,4,-2,0,1
teach_072,teach,assets/images/base/think2.png,0.96,0.5,-4,6,0,1
teach_073,teach,assets/images/base/teach1.png,0.90,-1.5,10,0,0,1
teach_074,teach,assets/images/base/teach2.png,0.95,1,2,-6,0,1
teach_075,teach,assets/images/base/think1.png,0.98,-1,-6,2,0,1
teach_076,teach,assets/images/base/think2.png,0.94,1.5,8,-4,0,1
teach_077,teach,assets/images/base/teach1.png,0.97,-0.5,0,4,0,1
teach_078,teach,assets/images/base/teach2.png,0.92,2,-8,-2,0,1
teach_079,teach,assets/images/base/think1.png,0.96,0,6,6,0,1
teach_080,teach,assets/images/base/think2.png,0.90,-2,-2,0,0,1
teach_081,teach,assets/images/base/teach1.png,0.95,0.5,-10,-6,0,1
teach_082,teach,assets/images/base/teach2.png,0.98,-1.5,4,2,0,1
teach_083,teach,assets/images/base/think1.png,0.94,1,-4,-4,0,1
teach_084,teach,assets/images/base/think2.png,0.97,-1,10,4,0,1
teach_085,teach,assets/images/base/teach1.png,0.92,1.5,2,-2,0,1
teach_086,teach,assets/images/base/teach2.png,0.96,-0.5,-6,6,0,1
teach_087,teach,assets/images/base/think1.png,0.90,2,8,0,0,1
teach_088,teach,assets/images/base/think2.png,0.95,0,0,-6,0,1
teach_089,teach,assets/images/base/teach1.png,0.98,-2,-8,2,0,1
teach_090,teach,assets/images/base/teach2.png,0.94,0.5,6,-4,0,1
teach_091,teach,assets/images/base/think1.png,0.97,-1.5,-2,4,0,1
teach_092,teach,assets/images/base/think2.png,0.92,1,-10,-2,0,1
teach_093,teach,assets/images/base/teach1.png,0.96,-1,4,6,0,1
teach_094,teach,assets/images/base/teach2.png,0.90,1.5,-4,0,0,1
teach_095,teach,assets/images/base/think1.png,0.95,-0.5,10,-6,0,1
teach_096,teach,assets/images/base/think2.png,0.98,2,2,2,0,1
teach_097,teach,assets/images/base/teach1.png,0.94,0,-6,-4,0,1
teach_098,teach,assets/images/base/teach2.png,0.97,-2,8,4,0,1
teach_099,teach,assets/images/base/think1.png,0.92,0.5,0,-2,0,1
teach_100,teach,assets/images/base/think2.png,0.96,-1.5,-8,6,0,1
teach_101,teach,assets/images/base/teach1.png,0.90,1,6,0,0,1
teach_102,teach,assets/images/base/teach2.png,0.95,-1,-2,-6,0,1
teach_103,teach,assets/images/base/think1.png,0.98,1.5,-10,2,0,1
teach_104,teach,assets/images/base/think2.png,0.94,-0.5,4,-4,0,1
teach_105,teach,assets/images/base/teach1.png,0.97,2,-4,4,0,1
teach_106,teach,assets/images/base/teach2.png,0.92,0,10,-2,0,1
teach_107,teach,assets/images/base/think1.png,0.96,-2,2,6,0,1
teach_108,teach,assets/images/base/think2.png,0.90,0.5,-6,0,0,1
teach_109,teach,assets/images/base/teach1.png,0.95,-1.5,8,-6,0,1
teach_110,teach,assets/images/base/teach2.png,0.98,1,0,2,0,1
teach_111,teach,assets/images/base/think1.png,0.94,-1,-8,-4,0,1
teach_112,teach,assets/images/base/think2.png,0.97,1.5,6,4,0,1
teach_113,teach,assets/images/base/teach1.png,0.92,-0.5,-2,-2,0,1
teach_114,teach,assets/images/base/teach2.png,0.96,2,-10,6,0,1
teach_115,teach,assets/images/base/think1.png,0.90,0,4,0,0,1
teach_116,teach,assets/images/base/think2.png,0.95,-2,-4,-6,0,1
teach_117,teach,assets/images/base/teach1.png,0.98,0.5,10,2,0,1
teach_118,teach,assets/images/base/teach2.png,0.94,-1.5,2,-4,0,1
teach_119,teach,assets/images/base/think1.png,0.97,1,-6,4,0,1
teach_120,teach,assets/images/base/think2.png,0.92,-1,8,-2,0,1
think_001,think,assets/images/base/think1.png,0.92,-1.5,-8,-2,0,1
think_002,think,assets/images/base/think2.png,0.96,1,6,6,0,1
think_003,think,assets/images/base/teach1.png,0.90,-1,-2,0,0,1
think_004,think,assets/images/base/teach2.png,0.95,1.5,-10,-6,0,1
think_005,think,assets/images/base/think1.png,0.98,-0.5,4,2,0,1
think_006,think,assets/images/base/think2.png,0.94,2,-4,-4,0,1
think_007,think,assets/images/base/teach1.png,0.97,0,10,4,0,1
think_008,think,assets/images/base/teach2.png,0.92,-2,2,-2,0,1
think_009,think,assets/images/base/think1.png,0.96,0.5,-6,6,0,1
think_010,think,assets/images/base/think2.png,0.90,-1.5,8,0,0,1
think_011,think,assets/images/base/teach1.png,0.95,1,0,-6,0,1
think_012,think,assets/images/base/teach2.png,0.98,-1,-8,2,0,1
think_013,think,assets/images/base/think1.png,0.94,1.5,6,-4,0,1
think_014,think,assets/images/base/think2.png,0.97,-0.5,-2,4,0,1
think_015,think,assets/images/base/teach1.png,0.92,2,-10,-2,0,1
think_016,think,assets/images/base/teach2.png,0.96,0,4,6,0,1
think_017,think,assets/images/base/think1.png,0.90,-2,-4,0,0,1
think_018,think,assets/images/base/think2.png,0.95,0.5,10,-6,0,1
think_019,think,assets/images/base/teach1.png,0.98,-1.5,2,2,0,1
think_020,think,assets/images/base/teach2.png,0.94,1,-6,-4,0,1
think_021,think,assets/images/base/think1.png,0.97,-1,8,4,0,1
think_022,think,assets/images/base/think2.png,0.92,1.5,0,-2,0,1
think_023,think,assets/images/base/teach1.png,0.96,-0.5,-8,6,0,1
think_024,think,assets/images/base/teach2.png,0.90,2,6,0,0,1
think_025,think,assets/images/base/think1.png,0.95,0,-2,-6,0,1
think_026,think,assets/images/base/think2.png,0.98,-2,-10,2,0,1
think_027,think,assets/images/base/teach1.png,0.94,0.5,4,-4,0,1
think_028,think,assets/images/base/teach2.png,0.97,-1.5,-4,4,0,1
think_029,think,assets/images/base/think1.png,0.92,1,10,-2,0,1
think_030,think,assets/images/base/think2.png,0.96,-1,2,6,0,1
think_031,think,assets/images/base/teach1.png,0.90,1.5,-6,0,0,1
think_032,think,assets/images/base/teach2.png,0.95,-0.5,8,-6,0,1
think_033,think,assets/images/base/think1.png,0.98,2,0,2,0,1
think_034,think,assets/images/base/think2.png,0.94,0,-8,-4,0,1
think_035,think,assets/images/base/teach1.png,0.97,-2,6,4,0,1
think_036,think,assets/images/base/teach2.png,0.92,0.5,-2,-2,0,1
think_037,think,assets/images/base/think1.png,0.96,-1.5,-10,6,0,1
think_038,think,assets/images/base/think2.png,0.90,1,4,0,0,1
think_039,think,assets/images/base/teach1.png,0.95,-1,-4,-6,0,1
think_040,think,assets/images/base/teach2.png,0.98,1.5,10,2,0,1
think_041,think,assets/images/base/think1.png,0.94,-0.5,2,-4,0,1
think_042,think,assets/images/base/think2.png,0.97,2,-6,4,0,1
think_043,think,assets/images/base/teach1.png,0.92,0,8,-2,0,1
think_044,think,assets/images/base/teach2.png,0.96,-2,0,6,0,1
think_045,think,assets/images/base/think1.png,0.90,0.5,-8,0,0,1
think_046,think,assets/images/base/think2.png,0.95,-1.5,6,-6,0,1
think_047,think,assets/images/base/teach1.png,0.98,1,-2,2,0,1
think_048,think,assets/images/base/teach2.png,0.94,-1,-10,-4,0,1
think_049,think,assets/images/base/think1.png,0.97,1.5,4,4,0,1
think_050,think,assets/images/base/think2.png,0.92,-0.5,-4,-2,0,1
think_051,think,assets/images/base/teach1.png,0.96,2,10,6,0,1
think_052,think,assets/images/base/teach2.png,0.90,0,2,0,0,1
think_053,think,assets/images/base/think1.png,0.95,-2,-6,-6,0,1
think_054,think,assets/images/base/think2.png,0.98,0.5,8,2,0,1
think_055,think,assets/images/base/teach1.png,0.94,-1.5,0,-4,0,1
think_056,think,assets/images/base/teach2.png,0.97,1,-8,4,0,1
think_057,think,assets/images/base/think1.png,0.92,-1,6,-2,0,1
think_058,think,assets/images/base/think2.png,0.96,1.5,-2,6,0,1
think_059,think,assets/images/base/teach1.png,0.90,-0.5,-10,0,0,1
think_060,think,assets/images/base/teach2.png,0.95,2,4,-6,0,1
think_061,think,assets/images/base/think1.png,0.98,0,-4,2,0,1
think_062,think,assets/images/base/think2.png,0.94,-2,10,-4,0,1
think_063,think,assets/images/base/teach1.png,0.97,0.5,2,4,0,1
think_064,think,assets/images/base/teach2.png,0.92,-1.5,-6,-2,0,1
think_065,think,assets/images/base/think1.png,0.96,1,8,6,0,1
think_066,think,assets/images/base/think2.png,0.90,-1,0,0,0,1
think_067,think,assets/images/base/teach1.png,0.95,1.5,-8,-6,0,1
think_068,think,assets/images/base/teach2.png,0.98,-0.5,6,2,0,1
think_069,think,assets/images/base/think1.png,0.94,2,-2,-4,0,1
think_070,think,assets/images/base/think2.png,0.97,0,-10,4,0,1
think_071,think,assets/images/base/teach1.png,0.92,-2,4,-2,0,1
think_072,think,assets/images/base/teach2.png,0.96,0.5,-4,6,0,1
think_073,think,assets/images/base/think1.png,0.90,-1.5,10,0,0,1
think_074,think,assets/images/base/think2.png,0.95,1,2,-6,0,1
think_075,think,assets/images/base/teach1.png,0.98,-1,-6,2,0,1
think_076,think,assets/images/base/teach2.png,0.94,1.5,8,-4,0,1
think_077,think,assets/images/base/think1.png,0.97,-0.5,0,4,0,1
think_078,think,assets/images/base/think2.png,0.92,2,-8,-2,0,1
think_079,think,assets/images/base/teach1.png,0.96,0,6,6,0,1
think_080,think,assets/images/base/teach2.png,0.90,-2,-2,0,0,1
surprise_001,surprise,assets/images/base/surprise.png,0.96,0,-2,4,0,1
surprise_002,surprise,assets/images/base/idle1.png,0.90,-2,-10,-2,0,1
surprise_003,surprise,assets/images/base/surprise.png,0.95,0.5,4,6,0,1
surprise_004,surprise,assets/images/base/idle1.png,0.98,-1.5,-4,0,0,1
surprise_005,surprise,assets/images/base/surprise.png,0.94,1,10,-6,0,1
surprise_006,surprise,assets/images/base/idle1.png,0.97,-1,2,2,0,1
surprise_007,surprise,assets/images/base/surprise.png,0.92,1.5,-6,-4,1,1
surprise_008,surprise,assets/images/base/idle1.png,0.96,-0.5,8,4,0,1
surprise_009,surprise,assets/images/base/surprise.png,0.90,2,0,-2,0,1
surprise_010,surprise,assets/images/base/idle1.png,0.95,0,-8,6,0,1
surprise_011,surprise,assets/images/base/surprise.png,0.98,-2,6,0,0,1
surprise_012,surprise,assets/images/base/idle1.png,0.94,0.5,-2,-6,0,1
surprise_013,surprise,assets/images/base/surprise.png,0.97,-1.5,-10,2,0,1
surprise_014,surprise,assets/images/base/idle1.png,0.92,1,4,-4,1,1
surprise_015,surprise,assets/images/base/surprise.png,0.96,-1,-4,4,0,1
surprise_016,surprise,assets/images/base/idle1.png,0.90,1.5,10,-2,0,1
surprise_017,surprise,assets/images/base/surprise.png,0.95,-0.5,2,6,0,1
surprise_018,surprise,assets/images/base/idle1.png,0.98,2,-6,0,0,1
surprise_019,surprise,assets/images/base/surprise.png,0.94,0,8,-6,0,1
surprise_020,surprise,assets/images/base/idle1.png,0.97,-2,0,2,0,1
surprise_021,surprise,assets/images/base/surprise.png,0.92,0.5,-8,-4,1,1
surprise_022,surprise,assets/images/base/idle1.png,0.96,-1.5,6,4,0,1
surprise_023,surprise,assets/images/base/surprise.png,0.90,1,-2,-2,0,1
surprise_024,surprise,assets/images/base/idle1.png,0.95,-1,-10,6,0,1
surprise_025,surprise,assets/images/base/surprise.png,0.98,1.5,4,0,0,1
surprise_026,surprise,assets/images/base/idle1.png,0.94,-0.5,-4,-6,0,1
surprise_027,surprise,assets/images/base/surprise.png,0.97,2,10,2,0,1
surprise_028,surprise,assets/images/base/idle1.png,0.92,0,2,-4,1,1
surprise_029,surprise,assets/images/base/surprise.png,0.96,-2,-6,4,0,1
surprise_030,surprise,assets/images/base/idle1.png,0.90,0.5,8,-2,0,1
surprise_031,surprise,assets/images/base/surprise.png,0.95,-1.5,0,6,0,1
surprise_032,surprise,assets/images/base/idle1.png,0.98,1,-8,0,0,1
surprise_033,surprise,assets/images/base/surprise.png,0.94,-1,6,-6,0,1
surprise_034,surprise,assets/images/base/idle1.png,0.97,1.5,-2,2,0,1
surprise_035,surprise,assets/images/base/surprise.png,0.92,-0.5,-10,-4,1,1
surprise_036,surprise,assets/images/base/idle1.png,0.96,2,4,4,0,1
surprise_037,surprise,assets/images/base/surprise.png,0.90,0,-4,-2,0,1
surprise_038,surprise,assets/images/base/idle1.png,0.95,-2,10,6,0,1
surprise_039,surprise,assets/images/base/surprise.png,0.98,0.5,2,0,0,1
